state,shortState,primary,general
Alabama,AL,3/3/2020,11/03/2020
Arkansas,AR,3/3/2020,11/03/2020
Illinois,IL,3/17/2020,11/03/2020
California,CA,3/3/2020,11/03/2020
Texas,TX,3/3/2020,11/03/2020
Ohio,OH,3/17/2020,11/03/2020
North Carolina,NC,3/3/2020,11/03/2020
Kentucky,KY,5/19/2020,11/03/2020
Mississippi,MS,3/10/2020,11/03/2020
Maryland,MD,4/28/2020,11/03/2020
West Virginia,WV,5/12/2020,11/03/2020
Indiana,IN,5/5/2020,11/03/2020
Pennsylvania,PA,4/28/2020,11/03/2020
Nebraska,NE,5/12/2020,11/03/2020
Georgia,GA,5/19/2020,11/03/2020
Montana,MT,6/2/2020,11/03/2020
New Mexico,NM,6/2/2020,11/03/2020
Oregon,OR,5/19/2020,11/03/2020
Idaho,ID,5/19/2020,11/03/2020
Iowa,IA,6/2/2020,11/03/2020
Nevada,NV,6/9/2020,11/03/2020
Maine,ME,6/9/2020,11/03/2020
Colorado,CO,6/30/2020,11/03/2020
Utah,UT,6/23/2020,11/03/2020
Virginia,VA,6/9/2020,11/03/2020
South Carolina,SC,6/9/2020,11/03/2020
New Jersey,NJ,6/2/2020,11/03/2020
Missouri,MO,8/4/2020,11/03/2020
South Dakota,SD,6/2/2020,11/03/2020
New York,NY,6/23/2020,11/03/2020
Tennessee,TN,8/6/2020,11/03/2020
Arizona,AZ,8/4/2020,11/03/2020
North Dakota,ND,6/9/2020,11/03/2020
Oklahoma,OK,6/30/2020,11/03/2020
Michigan,MI,8/4/2020,11/03/2020
Florida,FL,8/18/2020,11/03/2020
Washington,WA,8/4/2020,11/03/2020
Vermont,VT,8/11/2020,11/03/2020
Wyoming,WY,8/18/2020,11/03/2020
Alaska,AK,8/18/2020,11/03/2020
Kansas,KS,8/4/2020,11/03/2020
Wisconsin,WI,8/11/2020,11/03/2020
Hawaii,HI,8/8/2020,11/03/2020
Massachusetts,MA,9/15/2020,11/03/2020
Minnesota,MN,8/11/2020,11/03/2020
Connecticut,CT,8/11/2020,11/03/2020
New Hampshire,NH,9/8/2020,11/03/2020
Rhode Island,RI,9/8/2020,11/03/2020
Delaware,DE,9/15/2020,11/03/2020
Louisiana,LA,11/3/2020,11/03/2020
